crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
WWHT,10,1,10,8,tillage,flpl_30,NA,NA
WWHT,10,8,10,22,fertilizer,elem_n,broadcast,16
WWHT,10,8,10,22,fertilizer,elem_p,broadcast,21
WWHT,10,8,10,22,tillage,spiketth,NA,NA
WWHT,10,9,10,23,plant,wwht160,NA,NA
WWHT,NA,NA,NA,NA,skip,NA,NA,NA
WWHT,2,16,3,2,fertilizer,elem_n,broadcast,80
WWHT,4,10,4,24,fertilizer,elem_n,broadcast,54
WWHT,7,25,8,9,harvest_only,wwht160,grain,NA
WWHT,7,25,8,9,kill_only,wwht160,NA,NA
WWHT,8,10,8,24,tillage,cultiv25,NA,NA
CSIL,10,1,10,8,tillage,flpl_30,NA,NA
CSIL,NA,NA,NA,NA,skip,NA,NA,NA
CSIL,3,10,3,24,tillage,harrow5,NA,NA
CSIL,4,20,5,4,fertilizer,elem_n,broadcast,115
CSIL,4,30,5,14,tillage,spiketth,NA,NA
CSIL,5,5,5,19,plant,corn120,NA,NA
CSIL,10,26,11,10,harvest_only,corn120,grain,NA
CSIL,10,26,11,10,kill_only,corn120,NA,NA
CSIL_early,10,1,10,8,tillage,flpl_30,NA,NA
CSIL_early,NA,NA,NA,NA,skip,NA,NA,NA
CSIL_early,3,1,3,15,tillage,harrow5,NA,NA
CSIL_early,3,15,3,29,fertilizer,elem_n,broadcast,115
CSIL_early,4,1,4,15,tillage,spiketth,NA,NA
CSIL_early,4,1,4,15,plant,corn120,NA,NA
CSIL_early,9,1,9,15,harvest_only,corn120,grain,NA
CSIL_early,9,1,9,15,kill_only,corn120,NA,NA
SUNF,11,20,11,27,tillage,flpl_30,NA,NA
SUNF,NA,NA,NA,NA,skip,NA,NA,NA
SUNF,3,18,4,2,tillage,leveler,NA,NA
SUNF,4,7,4,21,fertilizer,elem_n,broadcast,80
SUNF,4,8,4,22,tillage,cultiv25,NA,NA
SUNF,4,9,4,23,tillage,spiketth,NA,NA
SUNF,4,11,4,25,fertilizer,elem_n,broadcast,30
SUNF,4,11,4,25,fertilizer,elem_p,broadcast,13
SUNF,4,11,4,25,plant,sunf100,NA,NA
SUNF,9,16,9,30,harvest_only,sunf100,grain,NA
SUNF,9,16,9,30,kill_only,sunf100,NA,NA
SUNF,10,1,10,15,tillage,pwrmulch,NA,NA
WBAR,9,29,10,13,tillage,flpl_30,NA,NA
WBAR,9,29,10,13,fertilizer,elem_n,broadcast,16
WBAR,9,29,10,13,fertilizer,elem_p,broadcast,18
WBAR,9,30,10,14,tillage,spiketth,NA,NA
WBAR,9,30,10,14,plant,wbar120,NA,NA
WBAR,NA,NA,NA,NA,skip,NA,NA,NA
WBAR,2,28,3,14,fertilizer,elem_n,broadcast,85
WBAR,4,21,5,5,fertilizer,elem_n,broadcast,40
WBAR,6,25,7,9,harvest_only,wbar120,grain,NA
WBAR,6,25,7,9,kill_only,wbar120,NA,NA
WBAR,7,10,7,24,tillage,cultiv25,NA,NA
CANP,8,10,8,24,tillage,cultiv25,NA,NA
CANP,8,10,8,24,tillage,spiketth,NA,NA
CANP,8,25,9,9,plant,canp140,NA,
CANP,NA,NA,NA,NA,skip,NA,NA,NA
CANP,2,16,3,2,fertilizer,elem_n,broadcast,54
CANP,4,5,4,19,fertilizer,elem_n,broadcast,80
CANP,7,1,7,15,harvest_only,canp140,grain,NA
CANP,7,1,7,15,kill_only,canp140,NA,NA
CANP,8,1,8,15,tillage,cultiv25,NA,NA
ALFA_0.5yr,8,2,8,16,tillage,cultiv25,NA,NA
ALFA_0.5yr,8,15,8,29,fertilizer,elem_p,broadcast,20
ALFA_0.5yr,8,15,8,29,tillage,spiketth,NA,NA
ALFA_0.5yr,8,15,8,29,plant,alfa,NA,NA
ALFA_0.5yr,8,25,9,9,fertilizer,elem_n,broadcast,30
ALFA_0.5yr,NA,NA,NA,NA,skip,NA,NA,NA
ALFA_0.5yr,3,1,3,15,harvest_only,alfa,hay_cut_low,NA
ALFA_0.5yr,3,1,3,15,kill_only,alfa,NA,NA
ALFA_1.0yr,8,2,8,16,tillage,cultiv25,NA,NA
ALFA_1.0yr,8,15,8,29,fertilizer,elem_p,broadcast,20
ALFA_1.0yr,8,15,8,29,tillage,spiketth,NA,NA
ALFA_1.0yr,8,15,8,29,plant,alfa,NA,NA
ALFA_1.0yr,8,25,9,9,fertilizer,elem_n,broadcast,30
ALFA_1.0yr,NA,NA,NA,NA,skip,NA,NA,NA
ALFA_1.0yr,5,1,5,15,harvest_only,alfa,hay_cut_low,NA
ALFA_1.0yr,6,15,6,30,harvest_only,alfa,hay_cut_low,NA
ALFA_1.0yr,8,15,8,30,harvest_only,alfa,hay_cut_low,NA
ALFA_1.0yr,9,1,9,15,kill_only,alfa,NA,NA
ALFA_1.5yr,8,2,8,16,tillage,cultiv25,NA,NA
