 HAFL_pntsource            SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
 ob_typ         props       area_ha   flash_idx       mean          max        p.1               p.5           p1                 p2             p3             p5            p10            p15            p20            p25            p30            p35            p40            p45            p50            p55            p60            p65            p70            p75            p80            p85            p90            p95            p97            p98            p99            min 
 chandeg          247   67.16060      4.1529888E-04  0.0000000E+00  1.9719537E-02  1.9717053E-02  1.9714484E-02  1.9711509E-02  1.9704947E-02  1.9694975E-02  1.9682558E-02  1.9597014E-02  5.1588675E-05  1.6450959E-06  1.0540487E-06  3.7897706E-07  2.2537999E-07  1.2524424E-07  6.1877444E-08  1.4624873E-08  4.7431498E-10  5.9203288E-13  1.3031149E-14  5.6483584E-19  4.4255633E-24  2.5191720E-30  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          250  0.6779000      3.4375960E-04  0.0000000E+00  2.8751357E-02  2.8748989E-02  2.8747194E-02  2.8739644E-02  2.8732006E-02  2.8722506E-02  2.8698603E-02  2.8608633E-02  2.8288133E-02  2.7241983E-02  1.4654237E-06  7.3869245E-07  3.2687078E-07  1.5232794E-07  7.3156372E-08  3.5958475E-08  6.2038814E-09  4.2761625E-10  6.9540096E-11  1.7271849E-14  4.8605902E-18  5.0397332E-22  1.4157884E-26  2.1283892E-35  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          251  0.7822000      3.4182190E-04  0.0000000E+00  3.5395738E-02  3.5392825E-02  3.5390612E-02  3.5381321E-02  3.5371915E-02  3.5360221E-02  3.5330795E-02  3.5220031E-02  3.4825467E-02  3.3537794E-02  1.4948778E-06  7.2285536E-07  3.2063829E-07  1.2466042E-07  7.4406607E-08  4.2992713E-08  5.1150965E-11  4.7479022E-12  1.9826601E-17  2.8269241E-23  2.4083339E-32  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          294  1.9600000E-02  1.5859774E-04  0.0000000E+00  5.6373477E-03  5.6370320E-03  5.6368173E-03  5.6359717E-03  5.6350701E-03  5.6340476E-03  5.6322757E-03  5.6244154E-03  5.6147389E-03  5.6032976E-03  5.5898661E-03  5.5787913E-03  5.5626463E-03  5.5324440E-03  5.4663643E-03  5.3371396E-03  7.1599482E-07  7.7292576E-08  3.2226666E-08  2.2362736E-08  5.8749166E-09  3.4227510E-11  7.0206872E-15  9.3577723E-21  4.3357417E-29  1.9559966E-35  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          297  9.9999997E-06  1.3887380E-04  0.0000000E+00  2.4763117E-02  2.4761872E-02  2.4760682E-02  2.4757069E-02  2.4753485E-02  2.4747888E-02  2.4740832E-02  2.4706298E-02  2.4666080E-02  2.4614552E-02  2.4555201E-02  2.4511475E-02  2.4446789E-02  2.4349682E-02  2.4099421E-02  2.3813395E-02  2.2737136E-02  2.2227407E-02  2.1701502E-02  1.0514133E-08  1.1556570E-09  1.6143537E-10  3.3409408E-13  1.4776562E-19  1.2252142E-28  3.3924367E-32  1.6482043E-36  0.0000000E+00  0.0000000E+00
 chandeg          148  0.2931000      1.9389869E-07  0.0000000E+00  5.6431284E-03  8.1082135E-06  6.6618081E-06  4.6625551E-06  3.6234972E-06  2.6459848E-06  1.7480037E-06  1.0321120E-06  7.4827028E-07  4.3355624E-07  2.6370788E-07  1.8076267E-07  1.1042081E-07  4.2876177E-08  5.0257469E-09  3.7240752E-10  1.5569640E-12  3.3525837E-15  1.9712605E-18  8.0929603E-24  6.1121457E-29  3.6091473E-37  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          158  0.8595000      1.1880943E-06  0.0000000E+00  3.5916492E-02  3.3070207E-02  1.2586485E-03  7.8372665E-05  3.7525049E-05  1.1028490E-05  4.3075320E-06  2.7596436E-06  2.5394136E-06  2.1040755E-06  1.9275953E-06  1.7082908E-06  1.5742997E-06  1.4155944E-06  1.1561762E-06  9.2986016E-07  6.6246861E-07  5.8769069E-07  4.5563971E-07  3.1873475E-07  2.4352522E-07  1.6538752E-07  1.3211574E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          159  9.9999997E-06  8.3574650E-07  0.0000000E+00  3.9275765E-02  3.3059660E-02  4.6427054E-03  7.8424804E-05  3.7459627E-05  1.1000182E-05  4.2943147E-06  2.7502647E-06  2.5300374E-06  2.0947064E-06  1.9214531E-06  1.7021511E-06  1.5681617E-06  1.4094591E-06  1.1500467E-06  9.2636270E-07  6.5897655E-07  5.8420090E-07  4.5215594E-07  3.1526238E-07  2.4207731E-07  1.6394367E-07  1.3067505E-07  1.4619449E-10  4.7290357E-12  2.4667683E-12  1.5095711E-12  1.3477518E-12  0.0000000E+00
 chandeg          298  3.5399999E-02  1.3872067E-04  0.0000000E+00  3.0803701E-02  3.0642459E-02  3.0636299E-02  3.0613141E-02  3.0599708E-02  3.0589622E-02  3.0563015E-02  3.0508606E-02  3.0438252E-02  3.0391354E-02  3.0290846E-02  3.0236254E-02  3.0131839E-02  3.0036828E-02  2.9865917E-02  2.9515399E-02  2.7643275E-02  2.7099397E-02  2.3603307E-02  4.0415503E-07  2.6545170E-08  2.7816416E-10  9.5334560E-11  7.6677398E-16  3.1773104E-21  7.7800505E-25  2.1776719E-27  8.0433831E-30  0.0000000E+00
 chandeg          309  9.9999997E-06  1.6077515E-04  0.0000000E+00  1.9100212E-02  1.9059237E-02  1.9053647E-02  1.9036239E-02  1.9021397E-02  1.9003252E-02  1.8979557E-02  1.8909778E-02  1.8852388E-02  1.8754046E-02  1.8564157E-02  7.8558149E-03  7.8354776E-03  7.8131538E-03  7.7850563E-03  7.7469754E-03  7.6844320E-03  7.6039606E-03  7.5148717E-03  7.3886658E-03  7.2268061E-03  7.1156528E-03  6.9185956E-03  6.6875117E-03  6.3102674E-03  6.0076425E-03  5.7891123E-03  1.6152978E-08  0.0000000E+00
 chandeg          235   6.220100      4.3241227E-05  0.0000000E+00  2.7385762E-02  1.3287834E-02  1.3269799E-02  1.3046067E-02  1.2825693E-02  1.2278168E-02  1.1913843E-02  1.1481824E-02  2.0320283E-03  1.3351998E-03  1.0834071E-03  8.0112607E-04  6.7087123E-04  5.8094662E-04  4.8978662E-04  4.1455193E-04  3.1443988E-04  2.3304403E-04  1.8340307E-04  1.1773028E-04  8.4602987E-05  5.9120284E-05  4.4361219E-05  1.9636143E-05  4.9175242E-06  2.3582008E-06  1.8226870E-06  1.1328729E-06  0.0000000E+00
 chandeg          236  9.9999997E-06  2.0899859E-04  0.0000000E+00  3.3852682E-02  1.9818975E-02  1.9759165E-02  1.9558394E-02  1.9389406E-02  1.8849015E-02  1.8413166E-02  1.8016770E-02  2.6274410E-03  1.5272663E-03  1.1059605E-03  8.0586079E-04  6.7092228E-04  5.8099616E-04  4.8983312E-04  4.1422667E-04  3.1459657E-04  2.3304408E-04  1.8343476E-04  1.1773033E-04  8.4418090E-05  5.8979564E-05  4.4360913E-05  1.9579933E-05  4.8943079E-06  2.3430252E-06  1.8140269E-06  1.1242375E-06  0.0000000E+00
 chandeg          310  9.9999997E-06  1.8295273E-04  0.0000000E+00  2.2523018E-02  2.2486789E-02  2.2463854E-02  2.2433683E-02  2.2377655E-02  2.2324828E-02  2.2248479E-02  2.1970192E-02  2.1742579E-02  2.1657730E-02  2.1569934E-02  2.1494979E-02  2.1414516E-02  2.1345221E-02  2.1291122E-02  3.4243491E-04  3.4109919E-04  3.3940151E-04  3.3720839E-04  3.3188472E-04  3.2602093E-04  3.1665782E-04  3.0757982E-04  2.9575737E-04  2.7460864E-04  2.6312628E-04  2.5112106E-04  3.8367548E-07  0.0000000E+00
 chandeg          311  2.4499999E-02  1.1860096E-04  0.0000000E+00  4.6657924E-02  4.6385050E-02  4.6371605E-02  4.6351433E-02  4.6323396E-02  4.6297319E-02  4.6255104E-02  4.6161737E-02  4.6051018E-02  4.5975056E-02  4.5858543E-02  4.5762543E-02  4.5687731E-02  4.5459740E-02  4.5204941E-02  4.4472847E-02  4.1153394E-02  3.9737623E-02  3.3864103E-02  1.5488210E-02  1.5165179E-02  1.4817478E-02  1.4482368E-02  1.3502927E-02  1.2801700E-02  1.2495588E-02  1.2159428E-02  1.1903249E-02  0.0000000E+00
 chandeg           86   7.038400      2.0173326E-04  0.0000000E+00  4.2855754E-02  2.0795695E-02  2.0748056E-02  2.0435579E-02  2.0134373E-02  1.9395579E-02  1.8850248E-02  1.8305883E-02  3.9098999E-03  2.2869615E-03  1.6431098E-03  1.2276180E-03  1.0035564E-03  8.5654826E-04  7.5196708E-04  6.2340876E-04  5.2082399E-04  3.7015171E-04  3.0541889E-04  1.9484322E-04  1.4793385E-04  1.0171693E-04  7.3329233E-05  2.6001078E-05  1.0746788E-05  5.1912643E-06  3.6962772E-06  2.2974136E-06  0.0000000E+00
 chandeg           87   46.24640      1.9977156E-04  0.0000000E+00  4.2782690E-02  2.0793946E-02  2.0597924E-02  2.0435559E-02  2.0134374E-02  1.9395743E-02  1.8850248E-02  1.8305715E-02  3.9098999E-03  2.2892144E-03  1.6434798E-03  1.2452749E-03  1.0125728E-03  8.5700222E-04  7.5196609E-04  6.3897722E-04  5.2139134E-04  3.7360474E-04  3.0331736E-04  1.9484322E-04  1.4793385E-04  1.0171695E-04  7.3329233E-05  2.6001078E-05  1.0746788E-05  5.1912643E-06  3.6962772E-06  2.2974134E-06  0.0000000E+00
 chandeg          248   60.18110      2.4662836E-04  0.0000000E+00  9.1281995E-02  4.3406565E-02  3.1684283E-02  1.9694958E-02  1.7336082E-02  1.0573678E-02  6.4234682E-03  3.1192400E-03  2.2910442E-03  2.0781173E-03  1.7843234E-03  5.8394927E-04  2.9882404E-04  1.7291382E-04  1.1595537E-04  9.5557371E-05  6.5932829E-05  4.4004904E-05  3.0168410E-05  1.9110663E-05  1.1338232E-05  4.1796120E-06  2.5725381E-06  4.3265831E-07  1.0799299E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
 chandeg          249   60.19380      2.9880941E-04  0.0000000E+00  9.5049597E-02  4.5750067E-02  3.3436988E-02  2.1763274E-02  1.7276421E-02  1.3801053E-02  8.6385943E-03  6.3880687E-03  6.0406276E-03  4.2448533E-03  2.0865060E-03  7.5504789E-04  2.9885292E-04  1.7291382E-04  1.1939854E-04  9.5558506E-05  6.5932822E-05  4.5618708E-05  3.0168416E-05  1.9110965E-05  1.1338231E-05  4.1796120E-06  2.5725383E-06  4.1853971E-07  2.5435478E-09  1.0896000E-09  4.0669879E-10  3.0218630E-10  0.0000000E+00
 chandeg           76   37.15170      9.9993165E-05  0.0000000E+00  7.7013792E-03  3.9709648E-03  2.4683580E-03  1.5719020E-03  1.0447786E-03  5.9287075E-04  3.8131693E-04  2.3845723E-04  1.9573084E-04  1.7219839E-04  1.5162992E-04  1.3070813E-04  1.2042344E-04  1.0603579E-04  9.0601687E-05  8.2732884E-05  7.4776384E-05  6.1488121E-05  4.7593094E-05  3.2082098E-05  2.6559490E-05  1.9893740E-05  1.1903605E-05  7.8886469E-06  4.4142375E-06  3.1077782E-06  2.7385797E-06  2.4765557E-06  0.0000000E+00
 chandeg          263   2.521300      2.4136774E-04  0.0000000E+00  5.2683666E-02  3.8531814E-02  3.7841789E-02  3.7439272E-02  3.7164260E-02  3.6972255E-02  3.6595810E-02  3.6254127E-02  3.5788875E-02  3.5649482E-02  3.5312999E-02  3.4116596E-02  1.5075337E-03  7.2655617E-04  5.2106119E-04  3.5509060E-04  2.7989887E-04  2.0230793E-04  1.4253898E-04  8.8637928E-05  6.2973755E-05  4.6252255E-05  3.5380635E-05  2.0666164E-05  8.8152019E-06  2.6960436E-06  1.6261429E-06  1.1028490E-06  0.0000000E+00
 chandeg          264  9.9999997E-06  2.3883404E-04  0.0000000E+00  6.8461843E-02  5.4241270E-02  5.3760376E-02  5.3466566E-02  5.3064715E-02  5.2917741E-02  5.2580543E-02  5.2215595E-02  5.1791716E-02  5.1566321E-02  5.0964009E-02  4.9313106E-02  6.2049422E-03  8.3849888E-04  5.2096590E-04  3.6398665E-04  2.8821497E-04  2.0297350E-04  1.4253899E-04  8.8547262E-05  6.6159162E-05  4.6189722E-05  3.5333996E-05  2.0633142E-05  8.7983208E-06  2.6870814E-06  1.6202764E-06  1.0995047E-06  0.0000000E+00
 chandeg          199  0.1394000      2.5456923E-04  0.0000000E+00  7.9523781E-03  4.4532018E-03  3.6626551E-03  3.1709746E-03  2.5818022E-03  2.4546483E-03  2.1832483E-03  1.5471951E-03  1.0418979E-03  6.9220876E-04  4.4556198E-04  3.6268495E-04  2.6927618E-04  1.5683148E-04  9.0732268E-05  4.1983938E-05  2.8783248E-05  1.4777425E-05  9.6959520E-06  5.8657715E-06  3.1367292E-06  2.0428406E-06  1.5873242E-06  1.2105843E-06  9.1038038E-07  8.7441487E-07  8.2614963E-07  7.9050892E-07  0.0000000E+00
