date	value
20140218	0.79
20140219	0.78
20140220	0.78
20140221	0.77
20140222	0.77
20140223	0.76
20140224	0.76
20140225	0.75
20140226	0.75
20140227	0.74
20140228	0.74
20140301	0.73
20140302	0.73
20140303	0.73
20140304	0.72
20140305	0.72
20140306	0.71
20140307	0.71
20140308	0.70
20140309	0.70
20140310	0.69
20140311	0.69
20140312	0.68
20140313	0.68
20140314	0.67
20140315	0.67
20140316	0.66
20140317	0.66
20140318	0.65
20140319	0.65
20140320	0.64
20140321	0.64
20140322	0.63
20140323	0.63
20140324	0.63
20140325	0.62
20140326	0.62
20140327	0.61
20140328	0.61
20140329	0.60
20140330	0.60
20140331	0.59
20140401	0.59
20140402	0.58
20140403	0.58
20140404	0.58
20140405	0.57
20140406	0.57
20140407	0.56
20140408	0.56
20140409	0.55
20140410	0.55
20140411	0.54
20140412	0.54
20140413	0.54
20140414	0.53
20140415	0.53
20140416	0.52
20140417	0.52
20140418	0.51
20140419	0.51
20140420	0.51
20140421	0.50
20140422	0.50
20140423	0.49
20140424	0.49
20140425	0.49
20140426	0.48
20140427	0.48
20140428	0.47
20140429	0.47
20140430	0.46
20140501	0.46
20140502	0.46
20140503	0.45
20140504	0.45
20140505	0.44
20140506	0.44
20140507	0.44
20140508	0.43
20140509	0.43
20140510	0.42
20140511	0.42
20140512	0.42
20140513	0.41
20140514	0.41
20140515	0.40
20140516	0.40
20140517	0.40
20140518	0.39
20140519	0.39
20140520	0.39
20140521	0.38
20140522	0.38
20140523	0.37
20140524	0.37
20140525	0.37
20140526	0.36
20140527	0.36
20140528	0.36
20140529	0.35
20140530	0.35
20140531	0.34
20140601	0.34
20140602	0.34
20140603	0.33
20140604	0.35
20140605	0.36
20140606	0.32
20140607	0.31
20140608	0.29
20140609	0.28
20140610	0.29
20140611	0.32
20140612	0.28
20140613	0.26
20140614	0.26
20140615	0.26
20140616	0.25
20140617	0.24
20140618	0.27
20140619	0.25
20140620	0.24
20140621	0.24
20140622	0.39
20140623	0.31
20140624	0.50
20140625	0.28
20140626	0.26
20140627	0.25
20140628	0.25
20140629	0.39
20140630	0.28
20140701	0.25
20140702	0.51
20140703	0.33
20140704	0.52
20140705	0.71
20140706	0.34
20140707	0.41
20140708	0.62
20140709	0.54
20140710	0.59
20140711	0.43
20140712	0.35
20140713	0.33
20140714	0.33
20140715	0.29
20140716	0.27
20140717	0.26
20140718	0.25
20140719	0.25
20140720	0.34
20140721	0.36
20140722	0.71
20140723	0.38
20140724	0.33
20140725	0.30
20140726	0.30
20140727	0.29
20140728	0.37
20140729	0.62
20140730	0.45
20140731	0.39
20140801	0.34
20140802	0.31
20140803	0.31
20140804	0.33
20140805	0.33
20140806	0.29
20140807	0.28
20140808	0.28
20140809	0.59
20140810	0.42
20140811	0.64
20140812	0.46
20140813	0.49
20140814	0.41
20140815	0.59
20140816	0.56
20140817	0.43
20140818	0.39
20140819	0.36
20140820	0.34
20140821	0.33
20140822	0.35
20140823	0.38
20140824	0.39
20140825	0.35
20140826	0.56
20140827	0.50
20140828	0.37
20140829	0.34
20140830	0.32
20140831	0.31
20140901	0.31
20140902	0.29
20140903	0.29
20140904	0.29
20140905	0.27
20140906	0.27
20140907	0.27
20140908	0.29
20140909	0.26
20140910	0.30
20140911	0.26
20140912	0.26
20140913	0.25
20140914	0.26
20140915	0.25
20140916	0.25
20140917	0.25
20140918	0.25
20140919	0.25
20140920	0.28
20140921	0.28
20140922	0.28
20140923	0.25
20140924	0.25
20140925	0.26
20140926	0.24
20140927	0.24
20140928	0.25
20140929	0.24
20140930	0.25
20141001	0.25
20141002	0.24
20141003	0.24
20141004	0.24
20141005	0.33
20141006	0.28
20141007	0.57
20141008	1.59
20141009	0.48
20141010	0.51
20141011	0.56
20141012	0.46
20141013	0.57
20141014	0.50
20141015	0.44
20141016	0.41
20141017	0.41
20141018	0.37
20141019	0.36
20141020	0.35
20141021	1.25
20141022	0.65
20141023	0.57
20141024	0.49
20141025	0.45
20141026	0.42
20141027	0.40
20141028	0.39
20141029	0.37
20141030	0.36
20141031	0.36
20141101	0.35
20141102	0.34
20141103	0.34
20141104	0.35
20141105	1.05
20141106	0.82
20141107	0.60
20141108	0.53
20141109	0.49
20141110	0.48
20141111	0.46
20141112	0.50
20141113	0.67
20141114	0.53
20141115	1.24
20141116	1.48
20141117	0.97
20141118	0.88
20141119	0.72
20141120	0.62
20141121	0.57
20141122	0.53
20141123	0.50
20141124	0.48
20141125	0.46
20141126	0.44
20141127	0.43
20141128	0.41
20141129	0.40
20141130	0.40
20141201	0.47
20141202	0.42
20141203	0.40
20141204	0.38
20141205	0.37
20141206	0.37
20141207	0.37
20141208	0.37
20141209	0.36
20141210	0.38
20141211	0.40
20141212	0.42
20141213	0.41
20141214	0.40
20141215	0.46
20141216	0.43
20141217	0.56
20141218	0.64
20141219	0.54
20141220	0.54
20141221	0.50
20141222	0.49
20141223	0.45
20141224	0.43
20141225	0.41
20141226	0.41
20141227	0.57
20141228	0.53
20141229	0.47
20141230	0.46
20141231	0.44
20150101	0.43
20150102	0.44
20150103	0.57
20150104	0.84
20150105	0.62
20150106	0.55
20150107	0.49
20150108	0.47
20150109	0.47
20150110	0.48
20150111	0.50
20150112	0.47
20150113	0.47
20150114	0.55
20150115	0.51
20150116	0.69
20150117	1.55
20150118	0.83
20150119	0.68
20150120	0.67
20150121	0.63
20150122	0.61
20150123	0.59
20150124	0.58
20150125	0.58
20150126	0.58
20150127	0.58
20150128	0.55
20150129	0.93
20150130	1.37
20150131	0.93
20150201	0.79
20150202	0.73
20150203	0.70
20150204	0.65
20150205	0.62
20150206	0.59
20150207	0.57
20150208	0.54
20150209	0.53
20150210	0.53
20150211	0.52
20150212	0.51
20150213	0.51
20150214	0.74
