plant_name; yield_min; yield_max; yield_mean
canp;1.7;3.9;2.9
corn;5.9;10.8;8.5
csil;4.9;7.4;6
peas;2.1;4.2;3.2
pota;3.8;9.8;6.7
ryeg;1;12.4;4.8
sgbt;8;15.6;12.3
sunf;2.1;3.1;2.6
swht;2.7;6.5;4.5
tobc;1.5;2.4;2
trit;3.2;7;5
wbar;3;7.9;5.5
wwht;3.2;7;5
