plant_name; yield_min; yield_max; yield_mean
swht;;;3.5
wwht;;;4.8
cana;;;2.4
barl;;;4.6
grbn;;;2
pota;;;15
peas;;;2.2
sgbt;;;15
lmix;;;2.5
bwht;;;1.5
oats;;;2.8
crrt;;;15
vtch;;;3.6
wtrc;;;0.7
alfa;;;0.6
corn;;;8
scan;;;1.5
soyb;;;1.4
canp;;;0.3
strc;;;3
wbar;;;4.4
