plant_name; yield_min; yield_max; yield_mean
alfa;8.79;15.75;13.18
corn120;3.2;10.3;5.86
corn130;3.2;10.3;5.86
canp140;1.7;3.9;2.49
sunf100;1.7;3.9;2.32
wbar120;3;6.8;4.03
wwht160;3.2;6.3;4.29
