plant_name; yield_min; yield_max; yield_mean
alfa;4.2507;5.1953;4.723
barl;1.447;2.612;2.148
csil;13.34;17.95;15.811
fesc1;3.637;8.312;5.71
oats;1.38;2.02;1.708
rape;3.1;4.14;3.584
swht;1.44;2.73;2.057
trit;2.04;3.14;2.512
wbar;2.64;3.49;3.191
wwht;2.55;3.6;3.227
