plant_name; yield_min; yield_max; yield_mean
csi1;;;18.753
csi2;;;15.002
soy1;;;3.431
soy2;;;2.9
ryeg;;;5.2
wwht;;;12
alfa;;;18
hay;;;9
hayd;;;7
