plant_name; yield_min; yield_max; yield_mean
alfa;9.51;17.7;13.53
corn120;3.9;9.7;5.65
corn130;3.9;9.7;5.65
canp140;2.1;3.7;2.6
sunf100;2;3.3;2.28
wbar120;2.9;6.3;3.98
wwht160;3;6.4;4.15
